,name,id
261,E39 VASSENDEN,SN57365
402,E39 VATLAND,SN41990
671,E39 VÅGSBOTN,SN50815
215,E39 ÅBERGSDALEN,SN56250
588,E39 ØRSKOGFJELL,SN61070
626,E39 ØYSAND,SN67153
1918,E6 AISAROAIVI,SN94195
1860,E6 ANDELVA,SN11125
839,E6 AVSJØEN,SN16620
1950,E6 BARTA,SN97120
1310,E6 BUVATNET,SN67340
609,E6 DJUPDALEN,SN18265
1160,E6 DJUPVIK,SN91675
1549,E6 DRIVSTUA,SN63880
690,E6 ESPA,SN12030
1056,E6 FJERDINGEN,SN73630
862,E6 FOKSTUGU,SN16611
818,E6 FRYA,SN13390
1490,E6 FURUSET,SN18240
413,E6 FÅBERG,SN13110
132,E6 GANDVIKBAKKEN,SN99090
184,E6 GRATANGSFJELLET,SN88010
1359,E6 GRØNBAKKEN,SN63940
46,E6 HEIA,SN90250
936,E6 HEIMDAL,SN68238
304,E6 HJERKINN,SN9303
384,E6 HORG,SN67210
872,E6 HÅLOGALANDSBRUA,SN84770
326,E6 INGEDAL,SN3005
657,E6 KARLSHUS,SN17090
1614,E6 KIRKENES SYD,SN99420
596,E6 KRÅKMOFJELLET,SN82970
1202,E6 KVAM,SN70980
1705,E6 KVÅL,SN67175
1544,E6 KVÆNANGSFJELLET,SN91890
1100,E6 LANGFJORDBOTN,SN92895
1625,E6 MAJAVATN,SN77403
1729,E6 MALVIK,SN69035
1752,E6 MINNESUND,SN11463
3,E6 MJØSBRUA,SN12590
982,E6 MOHOLTLIA,SN68175
1337,E6 NAMSSKOGAN,SN74670
722,E6 NORDNES,SN91505
430,E6 NØSTVET,SN17820
1017,E6 OPPDAL,SN63725
691,E6 OSEN,SN78170
300,E6 ROSTEN,SN16265
728,E6 RUDSHØGDA,SN12580
888,E6 SALTFJELLET ,SN79791
808,E6 SKJELLESVIKSKARET,SN83960
1935,E6 SKJOMENBRUA,SN84380
368,E6 SNÅSA,SN70960
256,E6 SOKNEDAL,SN67270
1079,E6 SONSVEIEN,SN17550
262,E6 TINGBERG,SN13125
1854,E6 TUSSVIKA,SN82020
692,E6 ULSBERG,SN66740
125,E6 VESTBY,SN17650
1833,E6 VIEN,SN12291
1149,E6 VIKSELV,SN12050
975,E6 VINGNES,SN12666
64,E6 YTTERVIKA,SN79215
1214,E6 ÅSEN,SN69625
731,E6 ØSE,SN87970
162,E69 NORDKAPP,SN94640
1958,E69 VEDBOTN,SN94805
107,E75 KOMAGVÆR,SN98630
858,E8 BOSSOVARRI,SN91490
